TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Ano,Playoffs
Oklahoma City Thunder,82,60,22,0.732,3966,8669,3126,6504,48.1,598,1588,37.7,1819,2196,82.8,854,2725,3579,1753,1253,679,624,322,1654,1698,755,2013,1
San Antonio Spurs,82,58,24,0.707,3976,8448,3210,6675,48.1,663,1764,37.6,1365,1725,79.1,666,2721,3387,2058,1206,695,446,405,1427,1565,525,2013,1
Denver Nuggets,82,57,25,0.695,3981,8704,3339,6983,47.8,521,1518,34.3,1505,2148,70.1,1092,2601,3693,2002,1253,762,533,554,1682,1775,417,2013,1
Los Angeles Clippers,82,56,26,0.683,3946,8289,3160,6608,47.8,627,1752,35.8,1342,1888,71.1,938,2475,3413,1958,1197,784,461,335,1716,1712,529,2013,1
Memphis Grizzlies,82,56,26,0.683,3961,7659,2964,6679,44.4,382,1107,34.5,1349,1746,77.3,1059,2445,3504,1715,1144,703,436,450,1660,1643,340,2013,1
Golden State Warriors,82,47,35,0.573,3961,8296,3130,6840,45.8,658,1632,40.3,1378,1744,79.0,885,2801,3686,1845,1236,567,346,399,1753,1571,73,2013,1
Houston Rockets,82,45,37,0.549,3956,8688,3124,6782,46.1,867,2369,36.6,1573,2087,75.4,909,2652,3561,1902,1348,679,359,498,1662,1674,285,2013,0
Los Angeles Lakers,82,45,37,0.549,3951,8381,3041,6640,45.8,715,2015,35.5,1584,2289,69.2,942,2732,3674,1818,1232,576,429,396,1467,1891,95,2013,0
Utah Jazz,82,43,39,0.524,3976,8038,3046,6710,45.4,507,1385,36.6,1439,1883,76.4,989,2457,3446,1859,1210,690,515,480,1750,1670,-7,2013,0
Dallas Mavericks,82,41,41,0.5,3996,8293,3182,6892,46.2,606,1628,37.2,1323,1669,79.3,767,2670,3437,1906,1144,648,454,340,1698,1547,-49,2013,0
Portland Trail Blazers,82,33,49,0.402,3971,7995,3009,6715,44.8,673,1904,35.3,1304,1680,77.6,874,2474,3348,1784,1203,538,353,359,1518,1537,-260,2013,0
Minnesota Timberwolves,82,31,51,0.378,3946,7851,2943,6702,43.9,450,1475,30.5,1515,2042,74.2,973,2473,3446,1836,1214,700,387,481,1509,1847,-194,2013,0
